frequency (MHz),NAC,Alpha Tag,Name
161.1,40B NAC,251-D02A,Fireground 251
161.1875,40B NAC,252-D02B,Fireground 252
161.0875,40B NAC,253-D02C,Fireground 253
162.4625,4A4 NAC,254-IMC,Fireground 254
163,4A4 NAC,255-IMC,Fireground 255
161.1125,430 NAC,256-D04A,Fireground 256
160.9875,430 NAC,257-D04B,Fireground 257
161.0875,430 NAC,258-D04C,Fireground 258
165.125,4A4 NAC,259-IMC,Fireground 259
162.5125,4A4 NAC,260-IMC,Fireground 260
161.05,455 NAC,261-D05A,Fireground 261
161.0125,455 NAC,262-D05B,Fireground 262
161.0375,455 NAC,263-D05C,Fireground 263
165.1,4A4 NAC,264-IMC,Fireground 264
163.25,4A4 NAC,265-IMC,Fireground 265
161.1875,47C NAC,266-D06A,Fireground 266
161.0875,47C NAC,267-D06B,Fireground 267
161,47C NAC,268-D06C,Fireground 268
162.625,4A4 NAC,270-IMC,Fireground 270
160.9875,4A4 NAC,272-D07A,Fireground 272
161.125,4A4 NAC,273-D07B,Fireground 273
161.0125,4A4 NAC,274-D07C,Fireground 274
162.275,4A4 NAC,275-IMC,Fireground 275
163.1,4A4 NAC,276-IMC,Fireground 276
161.1875,4F9 NAC,279-D08B,Fireground 279
161.075,4F9 NAC,280-D08C,Fireground 280
161,4F9 NAC,281-D08D,Fireground 281
161.1375,4F9 NAC,282-D08E,Fireground 282
162.425,4A4 NAC,283-IMC,Fireground 283
161.1625,526 NAC,284-D09A,Fireground 284
161.0625,526 NAC,285-D09B,Fireground 285
161.025,526 NAC,286-D09C,Fireground 286
162.5625,4A4 NAC,287-IMC,Fireground 287
161,555 NAC,289-D10A,Fireground 289
160.9875,555 NAC,290-D10B,Fireground 290
161.0375,555 NAC,291-D10C,Fireground 291
162.325,4A4 NAC,292-IMC,Fireground 292
161.075,585 NAC,294-D11A,Fireground 294
161.025,585 NAC,295-D11B,Fireground 295
161.05,585 NAC,296-D11C,Fireground 296
162.9875,4A4 NAC,297-IMC,Fireground 297
163.0125,4A4 NAC,298-IMC,Fireground 298
161.0125,5B6 NAC,299-D12A,Fireground 299
161.225,5B6 NAC,300-D12B,Fireground 300
161.1375,5B6 NAC,301-D12C,Fireground 301
163.0875,4A4 NAC,303-IMC,Fireground 303
161.1125,61F NAC,305-D13A,Fireground 305
161.175,61F NAC,306-D13B,Fireground 306
161.2,61F NAC,307-D13C,Fireground 307
161.1,61F NAC,308-D13D,Fireground 308
163.3375,4A4 NAC,310-IMC,Fireground 310
161.0625,656 NAC,312-D14A,Fireground 312
161.15,656 NAC,313-D14B,Fireground 313
161.05,656 NAC,314-D14C,Fireground 314
163.3625,4A4 NAC,315-IMC,Fireground 315
163.3875,4A4 NAC,316-IMC,Fireground 316
161.025,68F NAC,317-D15A,Fireground 317
161.1625,68F NAC,318-D15B,Fireground 318
161.2,68F NAC,319-D15C,Fireground 319
163.4,4A4 NAC,320-IMC,Fireground 320
163.4125,4A4 NAC,321-IMC,Fireground 321
161.075,6CA NAC,322-D16A,Fireground 322
161.1375,6CA NAC,323-D16B,Fireground 323
161.175,6CA NAC,324-D16C,Fireground 324
163.5,4A4 NAC,326-IMC,Fireground 326
161.225,707 NAC,327-D17A,Fireground 327
161.15,707 NAC,328-D17B,Fireground 328
161,707 NAC,329-D17C,Fireground 329
163.6625,4A4 NAC,330-IMC,Fireground 330
163.725,4A4 NAC,331-IMC,Fireground 331
161.0125,746 NAC,332-D18A,Fireground 332
161.0375,746 NAC,333-D18B,Fireground 333
160.9875,746 NAC,334-D18C,Fireground 334
162.2875,4A4 NAC,335-IMC,Fireground 335
162.65,4A4 NAC,336-IMC,Fireground 336
161.125,788 NAC,337-D20A,Fireground 337
161.05,788 NAC,338-D20B,Fireground 338
161.025,788 NAC,339-D20C,Fireground 339
163.2625,4A4 NAC,340-IMC,Fireground 340
163.35,4A4 NAC,341-IMC,Fireground 341
161.15,7F3 NAC,342-D22A,Fireground 342
161.0375,7F3 NAC,343-D22B,Fireground 343
160.9875,7F3 NAC,344-D22C,Fireground 344
162.8625,4A4 NAC,345-IMC,Fireground 345
165.1625,4A4 NAC,346-IMC,Fireground 346
161.05,83B NAC,347-D23A,Fireground 347
161.1875,83B NAC,348-D23B,Fireground 348
161.075,83B NAC,349-D23C,Fireground 349
164.25,4A4 NAC,350-IMC,Fireground 350
163.2125,4A4 NAC,351-IMC,Fireground 351
161.125,885 NAC,352-D24A,Fireground 352
161.0125,885 NAC,353-D24B,Fireground 353
161.0875,885 NAC,354-D24C,Fireground 354
